step_id,type,title,description,playbook
261,ACTION,Scrutinize Network Infrastructure Accesses,"Upon responding to a confirmed incident within any portion of a network, response teams should scrutinize network infrastructure accesses, evaluate potential lateral movement to network infrastructure and implement corrective actions commensurate with their findings.",CISA_aa22-158a_playbook-aa22-158a.json
262,ACTION,Enforce Password Complexity Requirements,"If MFA is unavailable, enforce password complexity requirements.",CISA_aa22-158a_playbook-aa22-158a.json
263,ACTION,Perform Regular Account Reviews,Perform regular account reviews to ensure compliance with password and access policies.,CISA_aa22-158a_playbook-aa22-158a.json
264,ACTION,Maintain Up-to-date Incident Response Procedures,Maintain up-to-date incident response and recovery procedures.,CISA_aa22-158a_playbook-aa22-158a.json
265,ACTION,Set Up Out-of-band Management Network,Set up an out-of-band management network to enhance security.,CISA_aa22-158a_playbook-aa22-158a.json
266,ACTION,Monitor Logs for Signs of Compromise,Monitor logs for signs of compromise to detect potential security incidents.,CISA_aa22-158a_playbook-aa22-158a.json
267,ACTION,Determine Vulnerable VMware Horizon Components,Refer to VMware Security Advisory VMSA-2021-0028.13 and VMware Knowledge Base (KB) 87073 to identify which VMware Horizon components are vulnerable.,CISA_aa22-174a_playbook-aa22-174a.json
268,ACTION,Apply Updates to VMware Horizon and UAG Systems,Install updated builds to ensure affected VMware Horizon and UAG systems are updated to the latest version.,CISA_aa22-174a_playbook-aa22-174a.json
269,ACTION,Restrict Network Perimeter Access Controls,Ensure network perimeter access controls are as restrictive as possible while installing updates.,CISA_aa22-174a_playbook-aa22-174a.json
270,ACTION,Treat VMware Horizon Systems as Compromised,Follow pro-active incident response procedures prior to applying updates if updates or workarounds were not promptly applied.,CISA_aa22-174a_playbook-aa22-174a.json
271,ACTION,Implement Temporary Workarounds,Use vendor-provided temporary workarounds from KB87073 and KB87092 if upgrading is not immediately feasible. Implement using an account with administrative privileges.,CISA_aa22-174a_playbook-aa22-174a.json
272,ACTION,Ensure Appropriate Backups,Ensure appropriate backups have been completed prior to implementing any temporary solution.,CISA_aa22-174a_playbook-aa22-174a.json
273,ACTION,Verify Successful Implementation of Mitigations,Execute the vendor supplied script Horizon_Windows_Log4j_Mitigations.zip without parameters to ensure that no vulnerabilities remain.,CISA_aa22-174a_playbook-aa22-174a.json
274,ACTION,Keep Software Up to Date,Keep all software up to date and prioritize patching known exploited vulnerabilities (KEVs).,CISA_aa22-174a_playbook-aa22-174a.json
275,ACTION,Minimize Internet-Facing Attack Surface,"Host essential services on a segregated DMZ, ensure strict network perimeter access controls, and do not host internet-facing services non-essential to business operations.",CISA_aa22-174a_playbook-aa22-174a.json
276,ACTION,Implement Web Application Firewalls (WAFs),Implement regularly updated WAFs in front of public-facing services to protect against web-based exploitation.,CISA_aa22-174a_playbook-aa22-174a.json
277,ACTION,Use Best Practices for Identity and Access Management,"Implement multifactor authentication (MFA), enforce use of strong passwords, and limit user access through the principle of least privilege.",CISA_aa22-174a_playbook-aa22-174a.json
278,ACTION,Implement Data Recovery Plan,"Maintain and retain multiple copies of sensitive or proprietary data and servers in a physically separate, segmented, and secure location.",CISA_aa22-181a_playbook-aa22-181a.json
279,ACTION,Network Segmentation and Offline Backups,Implement network segmentation and maintain offline backups of data to ensure limited interruption to the organization.,CISA_aa22-181a_playbook-aa22-181a.json
280,ACTION,Regular Data Backup and Protection,Regularly back up data and password protect backup copies stored offline. Ensure copies of critical data are not accessible for modification or deletion from the system where the data resides.,CISA_aa22-181a_playbook-aa22-181a.json
281,ACTION,Install and Update Antivirus Software,"Install, regularly update, and enable real-time detection for antivirus software on all hosts.",CISA_aa22-181a_playbook-aa22-181a.json
282,ACTION,Install System Updates,"Install updates for operating systems, software, and firmware as soon as possible.",CISA_aa22-181a_playbook-aa22-181a.json
283,ACTION,Review for Unrecognized Accounts,"Review domain controllers, servers, workstations, and active directories for new and/or unrecognized accounts.",CISA_aa22-181a_playbook-aa22-181a.json
284,ACTION,Audit Administrative User Accounts,Audit user accounts with administrative privileges and configure access controls according to the principle of least privilege.,CISA_aa22-181a_playbook-aa22-181a.json
285,ACTION,Disable Unused Ports,Disable unused ports to reduce potential attack vectors.,CISA_aa22-181a_playbook-aa22-181a.json
286,ACTION,Add Email Banner for External Emails,Consider adding an email banner to emails received from outside your organization.,CISA_aa22-181a_playbook-aa22-181a.json
287,ACTION,Disable Hyperlinks in Emails,Disable hyperlinks in received emails to prevent phishing attacks.,CISA_aa22-181a_playbook-aa22-181a.json
288,ACTION,Enforce Multifactor Authentication (MFA),Enforce multifactor authentication to enhance security.,CISA_aa22-181a_playbook-aa22-181a.json
289,ACTION,Develop Password Policies Using NIST Standards,"Use NIST standards for developing and managing password policies, including using longer passwords, storing passwords in hashed format, adding password user 'salts', avoiding password reuse, implementing account lockouts, and disabling password hints.",CISA_aa22-181a_playbook-aa22-181a.json
290,ACTION,Require Administrator Credentials for Software Installation,Require administrator credentials to install software to prevent unauthorized installations.,CISA_aa22-181a_playbook-aa22-181a.json
291,ACTION,Use Secure Networks,Only use secure networks and avoid using public Wi-Fi networks.,CISA_aa22-181a_playbook-aa22-181a.json
292,ACTION,Install and Use VPN,Consider installing and using a virtual private network (VPN) to establish secure remote connections.,CISA_aa22-181a_playbook-aa22-181a.json
293,ACTION,Focus on Cybersecurity Awareness and Training,"Regularly provide users with training on information security principles and techniques as well as overall emerging cybersecurity risks and vulnerabilities, such as ransomware and phishing scams.",CISA_aa22-181a_playbook-aa22-181a.json
294,ACTION,Use Longer Passwords,Use longer passwords consisting of at least 8 characters and no more than 64 characters in length.,CISA_aa22-181a_playbook-aa22-181a.json
295,ACTION,Store Passwords in Hashed Format,Store passwords in hashed format using industry-recognized password managers.,CISA_aa22-181a_playbook-aa22-181a.json
296,ACTION,Add Password User 'Salts',Add password user 'salts' to shared login credentials to enhance security.,CISA_aa22-181a_playbook-aa22-181a.json
297,ACTION,Avoid Password Reuse,Avoid reusing passwords to prevent security breaches.,CISA_aa22-181a_playbook-aa22-181a.json
298,ACTION,Implement Account Lockouts for Failed Login Attempts,Implement multiple failed login attempt account lockouts to prevent unauthorized access.,CISA_aa22-181a_playbook-aa22-181a.json
299,ACTION,Disable Password Hints,Disable password hints to prevent attackers from gaining clues about passwords.,CISA_aa22-181a_playbook-aa22-181a.json
300,ACTION,Change Passwords,Refrain from requiring password changes unless there is evidence of password compromise.,CISA_aa22-181a_playbook-aa22-181a.json
301,ACTION,Deploy Public Key Infrastructure,"Deploy public key infrastructure and digital certificates to authenticate connections with the network, IoT medical devices, and the electronic health record system.",CISA_aa22-187a_playbook-aa22-187a.json
302,ACTION,Use Standard User Accounts,Use standard user accounts on internal systems instead of administrative accounts to ensure least privilege.,CISA_aa22-187a_playbook-aa22-187a.json
303,ACTION,Turn Off Network Device Management Interfaces,"Turn off network device management interfaces such as Telnet, SSH, Winbox, and HTTP for WANs and secure with strong passwords and encryption when enabled.",CISA_aa22-187a_playbook-aa22-187a.json
304,ACTION,Secure PII/PHI,Secure personal identifiable information (PII)/patient health information (PHI) at collection points and encrypt the data at rest and in transit using technologies such as TLS.,CISA_aa22-187a_playbook-aa22-187a.json
305,ACTION,Protect Stored Data,Protect stored data by masking the permanent account number (PAN) when displayed and rendering it unreadable when stored through cryptography.,CISA_aa22-187a_playbook-aa22-187a.json
306,ACTION,Implement HIPAA Security Measures,"Secure the collection, storage, and processing practices for PII and PHI per HIPAA regulations to prevent malware introduction.",CISA_aa22-187a_playbook-aa22-187a.json
307,ACTION,Use Monitoring Tools for IoT Devices,Use monitoring tools to observe whether IoT devices are behaving erratically due to a compromise.,CISA_aa22-187a_playbook-aa22-187a.json
308,ACTION,Create and Review Internal Policies,"Create and regularly review internal policies that regulate the collection, storage, access, and monitoring of PII/PHI.",CISA_aa22-187a_playbook-aa22-187a.json
309,ACTION,Maintain Offline Backups,"Maintain offline backups of data, regularly test backup and restoration, and ensure all backup data is encrypted and immutable.",CISA_aa22-187a_playbook-aa22-187a.json
310,ACTION,Create Cyber Incident Response Plan,"Create, maintain, and exercise a basic cyber incident response plan and associated communications plan that includes response procedures for a ransomware incident.",CISA_aa22-187a_playbook-aa22-187a.json
311,ACTION,Ensure Notification Procedures Adhere to Laws,Ensure notification procedures adhere to applicable state laws and refer to the National Conference of State Legislatures for information on data breach laws.,CISA_aa22-187a_playbook-aa22-187a.json
312,ACTION,Install Updates and Patches,"Install updates for operating systems, software, and firmware as soon as they are released to minimize exposure to cybersecurity threats.",CISA_aa22-187a_playbook-aa22-187a.json
313,ACTION,Secure Remote Desktop Protocol (RDP),"Secure and monitor RDP by restricting access, requiring MFA, and using VPNs for external connections.",CISA_aa22-187a_playbook-aa22-187a.json
314,ACTION,Restrict SMB Protocol,Restrict Server Message Block (SMB) Protocol within the network to only access necessary servers and disable outdated versions.,CISA_aa22-187a_playbook-aa22-187a.json
315,ACTION,Review Third-Party Vendor Security,Review the security posture of third-party vendors and monitor connections for suspicious activity.,CISA_aa22-187a_playbook-aa22-187a.json
316,ACTION,Implement Application Whitelisting,Implement listing policies for applications and remote access that only allow execution of known and permitted programs.,CISA_aa22-187a_playbook-aa22-187a.json
317,ACTION,Conduct User Training and Phishing Exercises,"Implement user training programs and phishing exercises to raise awareness about the risks of suspicious websites, links, and attachments.",CISA_aa22-187a_playbook-aa22-187a.json
318,ACTION,Require Multi-Factor Authentication (MFA),"Require MFA for services, especially for webmail, VPNs, and accounts accessing critical systems.",CISA_aa22-187a_playbook-aa22-187a.json
319,ACTION,Use Strong Passwords,Use strong passwords and avoid reusing passwords for multiple accounts.,CISA_aa22-187a_playbook-aa22-187a.json
320,ACTION,Install Antivirus and Antimalware Software,Install and regularly update antivirus and antimalware software on all hosts.,CISA_aa22-187a_playbook-aa22-187a.json
321,ACTION,Use Secure Networks,Only use secure networks and consider installing and using a VPN.,CISA_aa22-187a_playbook-aa22-187a.json
322,ACTION,Disable Hyperlinks in Emails,Disable hyperlinks in received emails to prevent phishing attacks.,CISA_aa22-187a_playbook-aa22-187a.json
323,ACTION,Respond to Ransomware Incidents,"Follow the organization's Ransomware Response Checklist, scan backups for malware, and report incidents to the FBI, CISA, or USSS.",CISA_aa22-187a_playbook-aa22-187a.json
324,ACTION,Update Software,"Update software, including operating systems, applications, and firmware on IT network assets. Prioritize patching known exploited vulnerabilities and critical and high vulnerabilities that allow for remote code execution or denial-of-service on internet-facing equipment.",CISA_aa22-216a_playbook-aa22-216a.json
325,ACTION,Enforce Multi-Factor Authentication (MFA),"Enforce MFA to the greatest extent possible and require accounts with password logins, including service accounts, to have strong passwords. Do not allow passwords to be used across multiple accounts or stored on a system to which an adversary may have access.",CISA_aa22-216a_playbook-aa22-216a.json
326,ACTION,Secure and Monitor RDP and Risky Services,"Secure and monitor RDP and other potentially risky services. Limit access to resources over internal networks, especially by restricting RDP and using virtual desktop infrastructure. If RDP is operationally necessary, restrict the originating sources, and require MFA. Use a VPN or other means to authenticate and secure the connection before allowing RDP to connect to internal devices. Monitor remote access/RDP logs, enforce account lockouts after a specified number of attempts, log RDP login attempts, and disable unused remote access/RDP ports.",CISA_aa22-216a_playbook-aa22-216a.json
327,ACTION,Maintain Offline Backups,"Maintain offline backups of data. Backup procedures should be conducted on a frequent, regular basis (at a minimum every 90 days). Regularly test backup procedures and ensure that backups are isolated from network connections. Ensure backup keys are kept offline and all backup data is encrypted, immutable, and covers the entire organization’s data infrastructure.",CISA_aa22-216a_playbook-aa22-216a.json
328,ACTION,Provide End-User Awareness and Training,"Provide end-user awareness and training to help prevent successful targeted social engineering and spearphishing campaigns. Ensure that employees are aware of potential cyber threats and delivery methods, and know what to do and whom to contact when they receive a suspected phishing email or suspect a cyber incident.",CISA_aa22-216a_playbook-aa22-216a.json
329,ACTION,Implement Network Segmentation,Implement network segmentation to separate network segments based on role and functionality. This helps prevent the spread of ransomware and threat actor lateral movement by controlling traffic flows between and access to various subnetworks.,CISA_aa22-216a_playbook-aa22-216a.json
330,ACTION,Implement Recovery Plan,"Maintain and retain multiple copies of sensitive or proprietary data and servers in a physically separate, segmented, and secure location (i.e., hard drive, storage device, the cloud).",CISA_aa22-223a_playbook-aa22-223a.json
331,ACTION,Enforce NIST Password Standards,Require all accounts with password logins to comply with NIST standards for developing and managing password policies.,CISA_aa22-223a_playbook-aa22-223a.json
332,ACTION,Implement Password Security Measures,"Use longer passwords (8-64 characters), store passwords in hashed format, add password user 'salts', avoid reusing passwords, implement account lockouts for multiple failed login attempts, disable password hints, and refrain from frequent password changes.",CISA_aa22-223a_playbook-aa22-223a.json
333,ACTION,Require Administrator Credentials for Software Installation,Ensure administrator credentials are required to install software.,CISA_aa22-223a_playbook-aa22-223a.json
334,ACTION,Require Multifactor Authentication,"Require multifactor authentication for all services, particularly for webmail, VPNs, and accounts accessing critical systems.",CISA_aa22-223a_playbook-aa22-223a.json
335,ACTION,Keep Systems Updated,"Keep all operating systems, software, and firmware up to date. Prioritize patching SonicWall firewall vulnerabilities and known exploited vulnerabilities in internet-facing systems.",CISA_aa22-223a_playbook-aa22-223a.json
336,ACTION,Segment Networks,Segment networks to prevent the spread of ransomware by controlling traffic flows and restricting adversary lateral movement.,CISA_aa22-223a_playbook-aa22-223a.json
337,ACTION,Implement Network Monitoring Tools,"Identify, detect, and investigate abnormal activity and potential traversal of ransomware with a network monitoring tool. Implement a tool that logs and reports all network traffic, including lateral movement activity.",CISA_aa22-223a_playbook-aa22-223a.json
338,ACTION,Install and Update Antivirus Software,"Install, regularly update, and enable real-time detection for antivirus software on all hosts.",CISA_aa22-223a_playbook-aa22-223a.json
339,ACTION,Review and Audit Accounts,"Review domain controllers, servers, workstations, and active directories for new and/or unrecognized accounts. Audit user accounts with administrative privileges and configure access controls according to the principle of least privilege.",CISA_aa22-223a_playbook-aa22-223a.json
340,ACTION,Disable Unused Ports,Disable unused ports to reduce potential attack vectors.,CISA_aa22-223a_playbook-aa22-223a.json
341,ACTION,Enhance Email Security,Consider adding an email banner to emails received from outside your organization and disable hyperlinks in received emails.,CISA_aa22-223a_playbook-aa22-223a.json
342,ACTION,Implement Time-Based Access for Admin Accounts,Implement time-based access for accounts set at the admin level and higher using methods like Just-in-Time (JIT) access.,CISA_aa22-223a_playbook-aa22-223a.json
343,ACTION,Disable Command-Line and Scripting Activities,Disable command-line and scripting activities and permissions to prevent privilege escalation and lateral movement.,CISA_aa22-223a_playbook-aa22-223a.json
344,ACTION,Maintain Offline Backups,"Maintain offline backups of data, regularly maintain backup and restoration, and ensure all backup data is encrypted, immutable, and covers the entire organization’s data infrastructure.",CISA_aa22-223a_playbook-aa22-223a.json
345,ACTION,Upgrade to Latest ZCS Releases,Upgrade to the latest ZCS releases as noted on Zimbra Security – News & Alerts and Zimbra Security Advisories.,CISA_aa22-228a_playbook-aa22-228a.json
346,ACTION,Review Volexity’s Mitigation Steps,Review and apply mitigation steps from Volexity’s Mass Exploitation of (Un)authenticated Zimbra RCE: CVE-2022-27925.,CISA_aa22-228a_playbook-aa22-228a.json
347,ACTION,Maintain and Test Incident Response Plan,Ensure that an incident response plan is maintained and regularly tested.,CISA_aa22-228a_playbook-aa22-228a.json
348,ACTION,Implement Vulnerability Management Program,"Ensure a vulnerability management program is in place, prioritizing patch management and vulnerability scanning of known exploited vulnerabilities.",CISA_aa22-228a_playbook-aa22-228a.json
349,ACTION,Configure and Secure Internet-Facing Network Devices,Properly configure and secure internet-facing network devices. Do not expose management interfaces to the internet.,CISA_aa22-228a_playbook-aa22-228a.json
350,ACTION,Disable Unused Network Ports and Protocols,Disable unused or unnecessary network ports and protocols.,CISA_aa22-228a_playbook-aa22-228a.json
351,ACTION,Remove Unused Network Services and Devices,Disable or remove unused network services and devices.,CISA_aa22-228a_playbook-aa22-228a.json
352,ACTION,Adopt Zero-Trust Principles and Architecture,"Adopt zero-trust principles, including micro-segmenting networks, enforcing phishing-resistant MFA, and restricting access to trusted devices and users.",CISA_aa22-228a_playbook-aa22-228a.json
353,ACTION,Implement and Enforce Backup and Restoration Policies,"Maintain offline backups of data, regularly test backup and restoration, ensure all backup data is encrypted and immutable, activate BitLocker, and securely back up BitLocker keys.",CISA_aa22-257a_playbook-aa22-257a.json
354,ACTION,Patch and Update Systems,"Install updates/patch operating systems, software, and firmware as soon as updates/patches are released. Regularly check software updates and end-of-life notifications. Use a centralized patch management system. Immediately patch software affected by specified CVEs.",CISA_aa22-257a_playbook-aa22-257a.json
355,ACTION,Evaluate and Update Blocklists and Allowlists,Regularly evaluate and update blocklists and allowlists. Add key artifact files used by FortiOS to execution blocklist if FortiOS is not used.,CISA_aa22-257a_playbook-aa22-257a.json
356,ACTION,Implement Network Segmentation,Implement network segmentation to restrict a malicious threat actor’s lateral movement.,CISA_aa22-257a_playbook-aa22-257a.json
357,ACTION,Secure User Accounts,Audit user accounts with administrative privileges and configure access controls under the principles of least privilege and separation of duties. Require administrator credentials to install software.,CISA_aa22-257a_playbook-aa22-257a.json
358,ACTION,Implement Multifactor Authentication,"Use multifactor authentication where possible, particularly for webmail, VPNs, accounts that access critical systems, and privileged accounts that manage backups.",CISA_aa22-257a_playbook-aa22-257a.json
359,ACTION,Use Strong Passwords,"Require all accounts with password logins to have strong, unique passwords.",CISA_aa22-257a_playbook-aa22-257a.json
360,ACTION,Secure and Monitor RDP and Other Potentially Risky Services,Restrict RDP to limit access to resources over internal networks. Use a VPN for external RDP access. Disable unused remote access/RDP ports. Monitor remote access/RDP logs and enforce account lockouts.,CISA_aa22-257a_playbook-aa22-257a.json
361,ACTION,Use Antivirus Programs,Install and regularly update antivirus and anti-malware software on all hosts.,CISA_aa22-257a_playbook-aa22-257a.json
362,ACTION,Secure Remote Access,Only use secure networks. Consider installing and using a VPN for remote access.,CISA_aa22-257a_playbook-aa22-257a.json
363,ACTION,Implement CISA Cyber Hygiene Services,"Implement free CISA Cyber Hygiene Services Vulnerability Scanning to enable continuous scans of public, static IPs for accessible services and vulnerabilities.",CISA_aa22-257a_playbook-aa22-257a.json
364,ACTION,Evaluate External Connections,Determine if each external connection is truly needed and assess the necessity of publicly available information about the systems.,CISA_aa22-265a_playbook-aa22-265a.json
365,ACTION,Assume System Targeting,Operate under the assumption that the system is being targeted and predict the effects a malicious actor would intend to cause.,CISA_aa22-265a_playbook-aa22-265a.json
366,ACTION,Apply ICS Security Best Practices,Implement straightforward ICS security best practices to counter adversary TTPs.,CISA_aa22-265a_playbook-aa22-265a.json
367,ACTION,Update and Patch Systems,"Update and patch systems as soon as possible, prioritizing vulnerabilities identified in this CSA and other known exploited vulnerabilities.",CISA_aa22-279a_playbook-aa22-279a.json
368,ACTION,Apply Phishing-Resistant Multi-Factor Authentication,Utilize phishing-resistant multi-factor authentication whenever possible.,CISA_aa22-279a_playbook-aa22-279a.json
369,ACTION,Enforce Strong Password Policies,"Require all accounts with password logins to have strong, unique passwords, and change passwords immediately if there are indications that a password may have been compromised.",CISA_aa22-279a_playbook-aa22-279a.json
370,ACTION,Block Obsolete or Unused Protocols,Block obsolete or unused protocols at the network edge.,CISA_aa22-279a_playbook-aa22-279a.json
371,ACTION,Upgrade or Replace End-of-Life Devices,Upgrade or replace end-of-life devices to ensure security and compatibility.,CISA_aa22-279a_playbook-aa22-279a.json
372,ACTION,Move Toward Zero Trust Security Model,Adopt the Zero Trust security model to enhance security posture.,CISA_aa22-279a_playbook-aa22-279a.json
373,ACTION,Enable Robust Logging and Monitor for Anomalies,Enable robust logging of Internet-facing systems and monitor the logs for anomalous activity.,CISA_aa22-279a_playbook-aa22-279a.json
374,ACTION,Apply Patches for Apache Log4j2,Apply patches provided by vendor and perform required system updates for Apache Log4j2.,CISA_aa22-279a_playbook-aa22-279a.json
375,ACTION,Consult Vendor's Guidance for Log4j2,"See vendor’s Guidance For Preventing, Detecting, and Hunting for Exploitation of the Log4j 2 Vulnerability.",CISA_aa22-279a_playbook-aa22-279a.json
376,ACTION,Check Vulnerable Technologies for CVE-2021-44228,Check the full list of vulnerable technologies and versions associated with CVE-2021-44228 at https://nvd.nist.gov/vuln/detail/CVE-2021-44228.,CISA_aa22-279a_playbook-aa22-279a.json
377,ACTION,Apply Patches for Pulse Secure,Apply patches provided by vendor and perform required system updates for Pulse Secure.,CISA_aa22-279a_playbook-aa22-279a.json
378,ACTION,Use CISA’s 'Check Your Pulse' Tool,Use CISA’s 'Check Your Pulse' Tool to detect vulnerabilities in Pulse Secure.,CISA_aa22-279a_playbook-aa22-279a.json
379,ACTION,Check Vulnerable Technologies for CVE-2019-11510,Check the list of vulnerable technologies and versions for CVE-2019-11510.,CISA_aa22-279a_playbook-aa22-279a.json
380,ACTION,Update GitLab to Secure Versions,"Update GitLab to versions 12.10.3, 13.9.6, and 13.8.8 to mitigate CVE-2021-22205.",CISA_aa22-279a_playbook-aa22-279a.json
381,ACTION,Investigate GitLab Logfiles,Investigate logfiles and check GitLab Workhorse for signs of exploitation.,CISA_aa22-279a_playbook-aa22-279a.json
382,ACTION,Check Vulnerable Technologies for CVE-2021-22205,Check the list of vulnerable technologies and versions for CVE-2021-22205.,CISA_aa22-279a_playbook-aa22-279a.json
383,ACTION,Block Internet Traffic for Confluence,Immediately block all Internet traffic to and from affected Confluence products and apply updates per vendor instructions.,CISA_aa22-279a_playbook-aa22-279a.json
384,ACTION,Ensure Secure Compliance Practices for Confluence,Ensure Internet-facing servers are up-to-date and have secure compliance practices for Confluence.,CISA_aa22-279a_playbook-aa22-279a.json
385,ACTION,Check Vulnerable Technologies for CVE-2022-26134,Check the list of vulnerable technologies and versions for CVE-2022-26134.,CISA_aa22-279a_playbook-aa22-279a.json
386,ACTION,Apply Microsoft Security Update for Exchange,Apply the appropriate Microsoft Security Update for Exchange Server to mitigate CVE-2021-26855.,CISA_aa22-279a_playbook-aa22-279a.json
387,ACTION,Restrict Untrusted Connections to Exchange,Restrict untrusted connections to the Exchange server to prevent exploitation.,CISA_aa22-279a_playbook-aa22-279a.json
388,ACTION,Analyze Exchange Logs for Exploitation,Analyze Exchange product logs for evidence of exploitation and scan for known webshells.,CISA_aa22-279a_playbook-aa22-279a.json
389,ACTION,Apply F5 BIG-IP Update,Apply the latest F5 BIG-IP update to mitigate CVE-2020-5902.,CISA_aa22-279a_playbook-aa22-279a.json
390,ACTION,Restrict Access to F5 Configuration Utility,Restrict access to the F5 configuration utility to prevent unauthorized access.,CISA_aa22-279a_playbook-aa22-279a.json
391,ACTION,Use F5’s CVE-2020-5902 IoC Detection Tool,Use F5’s CVE-2020-5902 IoC Detection Tool to detect indicators of compromise.,CISA_aa22-279a_playbook-aa22-279a.json
392,ACTION,Apply Vendor Updates for VMware,Apply vendor updates to mitigate CVE-2021-22005 in VMware products.,CISA_aa22-279a_playbook-aa22-279a.json
393,ACTION,Check Vulnerable Technologies for CVE-2021-22005,Check the list of vulnerable technologies and versions for CVE-2021-22005.,CISA_aa22-279a_playbook-aa22-279a.json
394,ACTION,Apply Vendor Mitigations for Citrix,Apply vendor mitigations to address CVE-2019-19781 in Citrix products.,CISA_aa22-279a_playbook-aa22-279a.json
395,ACTION,Use Citrix CTX269180 Verification Tool,Use the Citrix CTX269180 - CVE-2019-19781 Verification Tool to verify mitigations.,CISA_aa22-279a_playbook-aa22-279a.json
396,ACTION,Check Vulnerable Technologies for CVE-2019-19781,Check the list of vulnerable technologies and versions for CVE-2019-19781.,CISA_aa22-279a_playbook-aa22-279a.json
397,ACTION,Apply Cisco Software Updates,Apply Cisco software updates to mitigate CVE-2021-1497.,CISA_aa22-279a_playbook-aa22-279a.json
398,ACTION,Use Cisco Snort Rules,Look at the Snort Rules provided by Cisco to detect exploitation attempts.,CISA_aa22-279a_playbook-aa22-279a.json
399,ACTION,Check Vulnerable Technologies for CVE-2021-1497,Check the list of vulnerable technologies and versions for CVE-2021-1497.,CISA_aa22-279a_playbook-aa22-279a.json
400,ACTION,Update Buffalo Firmware,Update firmware to the latest available version to mitigate CVE-2021-20090.,CISA_aa22-279a_playbook-aa22-279a.json
401,ACTION,Check Vulnerable Technologies for CVE-2021-20090,Check the list of vulnerable technologies and versions for CVE-2021-20090.,CISA_aa22-279a_playbook-aa22-279a.json
402,ACTION,Update Confluence to Secure Versions,"Update Confluence to versions 6.13.23, 7.4.11, 7.11.6, 7.12.5, and 7.13.0 to mitigate CVE-2021-26084.",CISA_aa22-279a_playbook-aa22-279a.json
403,ACTION,Use Intrusion Detection Systems for Confluence,Use Intrusion Detection Systems (IDS) to monitor for exploitation attempts on Confluence.,CISA_aa22-279a_playbook-aa22-279a.json
404,ACTION,Check Vulnerable Technologies for CVE-2021-26084,Check the list of vulnerable technologies and versions for CVE-2021-26084.,CISA_aa22-279a_playbook-aa22-279a.json
405,ACTION,Apply Latest Firmware Updates for Hikvision,Apply the latest firmware updates to mitigate CVE-2021-36260 in Hikvision products.,CISA_aa22-279a_playbook-aa22-279a.json
406,ACTION,Check Vulnerable Technologies for CVE-2021-36260,Check the list of vulnerable technologies and versions for CVE-2021-36260.,CISA_aa22-279a_playbook-aa22-279a.json
407,ACTION,Update Sitecore to Latest Version,Update Sitecore to the latest version to mitigate CVE-2021-42237.,CISA_aa22-279a_playbook-aa22-279a.json
408,ACTION,Delete Report.ashx File from Sitecore,Delete the Report.ashx file from /sitecore/shell/ClientBin/Reporting/Report.ashx to mitigate CVE-2021-42237.,CISA_aa22-279a_playbook-aa22-279a.json
409,ACTION,Check Vulnerable Technologies for CVE-2021-42237,Check the list of vulnerable technologies and versions for CVE-2021-42237.,CISA_aa22-279a_playbook-aa22-279a.json
410,ACTION,Block iControl REST Access for F5,Block iControl REST access through the self IP address and management interface to mitigate CVE-2022-1388.,CISA_aa22-279a_playbook-aa22-279a.json
411,ACTION,Modify BIG-IP httpd Configuration,Modify the BIG-IP httpd configuration to enhance security against CVE-2022-1388.,CISA_aa22-279a_playbook-aa22-279a.json
412,ACTION,Check Vulnerable Technologies for CVE-2022-1388,Check the list of vulnerable technologies and versions for CVE-2022-1388.,CISA_aa22-279a_playbook-aa22-279a.json
413,ACTION,Comment Out Batch-Requests in Apache APISIX,"In affected versions of Apache APISIX, comment out batch-requests in the conf/config.yaml and conf/config-default.yaml files and restart Apache APISIX to mitigate CVE-2022-24112.",CISA_aa22-279a_playbook-aa22-279a.json
414,ACTION,Update Apache APISIX to Secure Versions,Update Apache APISIX to versions 2.10.4 or 2.12.1 to mitigate CVE-2022-24112.,CISA_aa22-279a_playbook-aa22-279a.json
415,ACTION,Check Vulnerable Technologies for CVE-2022-24112,Check the list of vulnerable technologies and versions for CVE-2022-24112.,CISA_aa22-279a_playbook-aa22-279a.json
416,ACTION,Upgrade Zoho ManageEngine to Latest Version,Upgrade Zoho ManageEngine ADSelfService Plus to the latest version to mitigate CVE-2021-40539.,CISA_aa22-279a_playbook-aa22-279a.json
417,ACTION,Run ManageEngine Detection Tool,Run ManageEngine’s detection tool and check for specific files and logs to detect CVE-2021-40539.,CISA_aa22-279a_playbook-aa22-279a.json
418,ACTION,Check Vulnerable Technologies for CVE-2021-40539,Check the list of vulnerable technologies and versions for CVE-2021-40539.,CISA_aa22-279a_playbook-aa22-279a.json
419,ACTION,Update Microsoft Exchange to Latest Version,Update Microsoft Exchange Server to the latest version to mitigate CVE-2021-26857.,CISA_aa22-279a_playbook-aa22-279a.json
420,ACTION,Use Microsoft Exchange On-Premises Mitigation Tool,Use Microsoft Exchange On-Premises Mitigation Tool to mitigate CVE-2021-26857.,CISA_aa22-279a_playbook-aa22-279a.json
421,ACTION,Check Vulnerable Technologies for CVE-2021-26857,Check the list of vulnerable technologies and versions for CVE-2021-26857.,CISA_aa22-279a_playbook-aa22-279a.json
422,ACTION,Update Microsoft Exchange to Latest Version,Update Microsoft Exchange Server to the latest version to mitigate CVE-2021-26858.,CISA_aa22-279a_playbook-aa22-279a.json
